(280, 120)
Match Results 

Person 1 identified as 1 (img/att_faces/s1/10.pgm) with distance 47022989.48 	 unknown
Person 1 identified as 1 (img/att_faces/s1/10.pgm) with distance 47397137.40 	 unknown
Person 2 identified as 2 (img/att_faces/s2/8.pgm) with distance 12442586.10 	 correctly
Person 2 identified as 2 (img/att_faces/s2/8.pgm) with distance 21330702.63 	 correctly
Person 3 identified as 3 (img/att_faces/s3/2.pgm) with distance 16297804.05 	 correctly
Person 3 identified as 3 (img/att_faces/s3/8.pgm) with distance 16290150.89 	 correctly
Person 4 identified as 4 (img/att_faces/s4/1.pgm) with distance 17692824.55 	 correctly
Person 4 identified as 4 (img/att_faces/s4/10.pgm) with distance 26603396.92 	 correctly
Person 5 identified as 5 (img/att_faces/s5/2.pgm) with distance 19151542.34 	 correctly
Person 5 identified as 5 (img/att_faces/s5/1.pgm) with distance 15500884.22 	 correctly
Person 6 identified as 6 (img/att_faces/s6/1.pgm) with distance 21619744.20 	 correctly
Person 6 identified as 6 (img/att_faces/s6/4.pgm) with distance 13643043.30 	 correctly
Person 8 identified as 8 (img/att_faces/s8/10.pgm) with distance 12076119.71 	 correctly
Person 8 identified as 8 (img/att_faces/s8/1.pgm) with distance 19269898.95 	 correctly
Person 9 identified as 9 (img/att_faces/s9/1.pgm) with distance 20336582.65 	 correctly
Person 9 identified as 9 (img/att_faces/s9/6.pgm) with distance 15440718.12 	 correctly
Person 10 identified as 10 (img/att_faces/s10/2.pgm) with distance 47251761.91 	 unknown
Person 10 identified as 10 (img/att_faces/s10/4.pgm) with distance 35930691.59 	 correctly
Person 11 identified as 11 (img/att_faces/s11/9.pgm) with distance 25104165.41 	 correctly
Person 11 identified as 11 (img/att_faces/s11/1.pgm) with distance 24887758.14 	 correctly
Person 12 identified as 12 (img/att_faces/s12/2.pgm) with distance 17292547.73 	 correctly
Person 12 identified as 12 (img/att_faces/s12/4.pgm) with distance 18755752.37 	 correctly
Person 14 identified as 14 (img/att_faces/s14/1.pgm) with distance 14857791.41 	 correctly
Person 14 identified as 14 (img/att_faces/s14/8.pgm) with distance 24642460.45 	 correctly
Person 15 identified as 15 (img/att_faces/s15/4.pgm) with distance 12240987.09 	 correctly
Person 15 identified as 15 (img/att_faces/s15/10.pgm) with distance 14683253.70 	 correctly
Person 16 identified as 16 (img/att_faces/s16/8.pgm) with distance 29615805.09 	 correctly
Person 16 identified as 16 (img/att_faces/s16/8.pgm) with distance 37776363.14 	 correctly
Person 17 identified as 17 (img/att_faces/s17/4.pgm) with distance 29420004.61 	 correctly
Person 17 identified as 17 (img/att_faces/s17/9.pgm) with distance 15387323.20 	 correctly
Person 18 identified as 18 (img/att_faces/s18/5.pgm) with distance 20053068.55 	 correctly
Person 18 identified as 18 (img/att_faces/s18/6.pgm) with distance 19003596.19 	 correctly
Person 20 identified as 20 (img/att_faces/s20/2.pgm) with distance 21603624.42 	 correctly
Person 20 identified as 36 (img/att_faces/s36/9.pgm) with distance 45960521.83 	 unknown
Person 21 identified as 30 (img/att_faces/s30/5.pgm) with distance 44342686.36 	 unknown
Person 21 identified as 21 (img/att_faces/s21/4.pgm) with distance 22167574.28 	 correctly
Person 22 identified as 22 (img/att_faces/s22/2.pgm) with distance 22457197.59 	 correctly
Person 22 identified as 22 (img/att_faces/s22/8.pgm) with distance 14761373.11 	 correctly
Person 24 identified as 24 (img/att_faces/s24/10.pgm) with distance 35620644.45 	 correctly
Person 24 identified as 15 (img/att_faces/s15/8.pgm) with distance 32842465.04 	 incorrectly
Person 25 identified as 25 (img/att_faces/s25/10.pgm) with distance 15357306.62 	 correctly
Person 25 identified as 25 (img/att_faces/s25/10.pgm) with distance 19821602.40 	 correctly
Person 26 identified as 26 (img/att_faces/s26/6.pgm) with distance 34592354.04 	 correctly
Person 26 identified as 25 (img/att_faces/s25/8.pgm) with distance 40924824.67 	 unknown
Person 27 identified as 27 (img/att_faces/s27/4.pgm) with distance 12153048.90 	 correctly
Person 27 identified as 27 (img/att_faces/s27/8.pgm) with distance 29857463.75 	 correctly
